,,,,-SAVOIE,,,
29600,73,73317,73270,Villard-sur-Doron,villard sur doron,45.729203381295,6.5230098561151
29601,73,73318,73300,Villarembert,villarembert,45.241538521739,6.2613767826087
29602,73,73320,73300,Villargondran,villargondran,45.2540225,6.3772986764706
29603,73,73322,73500,Villarodin-Bourget,villarodin bourget,45.216529550562,6.6890780337079
29604,73,73323,73640,Villaroger,villaroger,45.561347260274,6.8678132420091
29605,73,73324,73110,Villaroux,villaroux,45.46121739726,6.0789634246575
29606,73,73326,73160,Vimines,vimines,45.535918356164,5.8551452739726
29607,73,73327,73310,Vions,vions,45.820228,5.8025155
29608,73,73328,73420,Viviers-du-Lac,viviers du lac,45.651969444444,5.9028731481482
29609,73,73329,73420,Voglans,voglans,45.627108358209,5.8913613432836
29610,73,73330,73170,Yenne,yenne,45.706613597122,5.7662288489209
