,,,,-SARTHE,,,
29219,72,72277,72110,Saint-Denis-des-Coudrais,saint denis des coudrais,48.16334742268,0.50632659793814
29220,72,72278,72350,Saint-Denis-d'Orques,saint denis d orques,48.0295,-0.27042975694444
29221,72,72279,72150,Saint-Georges-de-la-Couée,saint georges de la couee,47.827676829268,0.58882182926829
29222,72,72280,72700,Saint-Georges-du-Bois,saint georges du bois,47.972699837398,0.10528601626016
29223,72,72281,72110,Saint-Georges-du-Rosay,saint georges du rosay,48.201487093023,0.52251412790698
29224,72,72282,72130,Saint-Georges-le-Gaultier,saint georges le gaultier,48.296512638298,-0.10476217021277
29225,72,72283,72800,Saint-Germain-d'Arcé,saint germain d arce,47.630484975369,0.27898428571429
29226,72,72284,72130,Saint-Germain-sur-Sarthe,saint germain sur sarthe,48.280128302752,0.07923903669725
29227,72,72286,72120,Saint-Gervais-de-Vic,saint gervais de vic,47.88372974026,0.73024032467532
29228,72,72287,72220,Saint-Gervais-en-Belin,saint gervais en belin,47.867052105263,0.20420894736842
29229,72,72289,72380,Sainte-Jamme-sur-Sarthe,sainte jamme sur sarthe,48.137938762887,0.15434855670103
29230,72,72290,72380,Saint-Jean-d'Assé,saint jean d asse,48.157181727749,0.12093591623037
29231,72,72291,72510,Saint-Jean-de-la-Motte,saint jean de la motte,47.759515050505,0.06105308080808
29232,72,72292,72320,Saint-Jean-des-Échelles,saint jean des echelles,48.128296328125,0.737176484375
29233,72,72293,72430,Saint-Jean-du-Bois,saint jean du bois,47.864473372093,-0.04261279069767
29234,72,72294,72130,Saint-Léonard-des-Bois,saint leonard des bois,48.356078172043,-0.07602252688172
29235,72,72295,72600,Saint-Longis,saint longis,48.3533865,0.3375764
29236,72,72296,72320,Saint-Maixent,saint maixent,48.113538939929,0.64703982332156
29237,72,72297,72170,Saint-Marceau,saint marceau,48.18508544,0.1177508
29238,72,72298,72440,Saint-Mars-de-Locquenay,saint mars de locquenay,47.930519141414,0.50368464646465
29239,72,72299,72220,Saint-Mars-d'Outillé,saint mars d outille,47.870907969349,0.34797639846743
29240,72,72300,72470,Saint-Mars-la-Brière,saint mars la briere,48.02996291498,0.37198251012146
29241,72,72302,72400,Saint-Martin-des-Monts,saint martin des monts,48.154653063063,0.60135171171171
29242,72,72303,72440,Saint-Michel-de-Chavaignes,saint michel de chavaignes,48.009440669145,0.57297691449814
29243,72,72304,72120,Sainte-Osmane,sainte osmane,47.871930555556,0.60788098765432
29244,72,72305,72130,Saint-Ouen-de-Mimbré,saint ouen de mimbre,48.291060955882,0.05040742647059
29245,72,72306,72220,Saint-Ouen-en-Belin,saint ouen en belin,47.837117786885,0.22117713114754
29246,72,72307,72350,Saint-Ouen-en-Champagne,saint ouen en champagne,47.961749029126,-0.18301669902913
29247,72,72308,72610,Saint-Paterne - Le Chevain,saint paterne le chevain,48.418832518518,0.12876185185185
29248,72,72309,72130,Saint-Paul-le-Gaultier,saint paul le gaultier,48.321051677419,-0.10917032258065
29249,72,72310,72190,Saint-Pavace,saint pavace,48.041022682927,0.1975737804878
29250,72,72311,72500,Saint-Pierre-de-Chevillé,saint pierre de cheville,47.6364204,0.4265627
29251,72,72312,72430,Saint-Pierre-des-Bois,saint pierre des bois,47.94035990566,-0.13524452830189
29252,72,72313,72600,Saint-Pierre-des-Ormes,saint pierre des ormes,48.293299177215,0.42103329113924
29253,72,72314,72150,Saint-Pierre-du-Lorouër,saint pierre du lorouer,47.802163719807,0.51120657004831
29254,72,72315,72140,Saint-Rémy-de-Sillé,saint remy de sille,48.180655058824,-0.09859247058824
29255,72,72316,72600,Saint-Rémy-des-Monts,saint remy des monts,48.322169352518,0.38207553956835
29256,72,72317,72600,Saint-Rémy-du-Val,saint remy du val,48.352230136986,0.24745520547945
29257,72,72319,72380,Sainte-Sabine-sur-Longève,sainte sabine sur longeve,48.137563398058,0.09330572815534
29258,72,72320,72650,Saint-Saturnin,saint saturnin,48.062426538462,0.16487583333333
29259,72,72321,72240,Saint-Symphorien,saint symphorien,48.07694562724,-0.15359745519713
29260,72,72322,72320,Saint-Ulphace,saint ulphace,48.154181714286,0.84134093877551
29261,72,72323,72130,Saint-Victeur,saint victeur,48.315847307692,0.03596538461538
29262,72,72324,72600,Saint-Vincent-des-Prés,saint vincent des pres,48.2953996,0.36963926666667
29263,72,72325,72150,Saint-Vincent-du-Lorouër,saint vincent du lorouer,47.824781143911,0.48341826568266
29264,72,72326,72600,Saosnes,saosnes,48.325966666667,0.28509883333333
29265,72,72327,72360,Sarcé,sarce,47.725451690141,0.22903063380282
29266,72,72328,72190,Sargé-lès-le-Mans,sarge les le mans,48.039478418079,0.24489689265537
29267,72,72329,72460,Savigné-l'Évêque,savigne l eveque,48.084071389961,0.28708888030888
29268,72,72330,72800,Savigné-sous-le-Lude,savigne sous le lude,47.630129778761,0.05847486725664
29269,72,72331,72160,Sceaux-sur-Huisne,sceaux sur huisne,48.099842550336,0.58175644295302
29270,72,72332,72170,Ségrie,segrie,48.214086966667,0.01953613333333
29271,72,72333,72390,Semur-en-Vallon,semur en vallon,48.02143637931,0.66329146551724
29272,72,72334,72140,Sillé-le-Guillaume,sille le guillaume,48.183829253731,-0.13463950248756
29273,72,72335,72460,Sillé-le-Philippe,sille le philippe,48.105969698795,0.34999969879518
29274,72,72336,72300,Solesmes,solesmes,47.840368604651,-0.28967313953488
29275,72,72337,72130,Sougé-le-Ganelon,souge le ganelon,48.315446010638,-0.04227026595745
29276,72,72338,72380,Souillé,souille,48.120513970588,0.16974852941176
29277,72,72339,72210,Souligné-Flacé,souligne flace,47.96404534413,0.01574307692308
29278,72,72340,72290,Souligné-sous-Ballon,souligne sous ballon,48.138284363636,0.23557896969697
29279,72,72341,72370,Soulitré,soulitre,48.019528526316,0.44715347368421
29280,72,72342,72400,Souvigné-sur-Même,souvigne sur meme,48.214091293532,0.64634542288557
29281,72,72343,72300,Souvigné-sur-Sarthe,souvigne sur sarthe,47.826348969072,-0.41458891752577
29282,72,72344,72700,Spay,spay,47.925721313131,0.1415297979798
29283,72,72345,72370,Surfonds,surfonds,47.977102566372,0.46452300884956
29284,72,72346,72210,La Suze-sur-Sarthe,la suze sur sarthe,47.872606978022,0.03397373626374
29285,72,72347,72430,Tassé,tasse,47.890284588235,-0.15218788235294
29286,72,72348,72540,Tassillé,tassille,47.990483068182,-0.09460170454545
