,,,,-OISE,,,
23281,60,60314,60360,Hétomesnil,hetomesnil,49.630958461538,2.0446753846154
23282,60,60315,60650,Hodenc-en-Bray,hodenc en bray,49.467440466667,1.9146374666667
23283,60,60316,60430,Hodenc-l'Évêque,hodenc l eveque,49.334033928571,2.1409694642857
23284,60,60317,60250,Hondainville,hondainville,49.343433571429,2.3104233571429
23285,60,60318,60710,Houdancourt,houdancourt,49.337301449275,2.6463637681159
23286,60,60319,60390,La Houssoye,la houssoye,49.355030131579,1.9497519736842
23287,60,60320,60141,Ivors,ivors,49.194075959596,3.0120687878788
23288,60,60321,60173,Ivry-le-Temple,ivry le temple,49.230258726115,2.0232114012739
23289,60,60322,60240,Jaméricourt,jamericourt,49.301013157895,1.8743365789474
23290,60,60323,60150,Janville,janville,49.454211578947,2.8569121052632
23291,60,60324,60350,Jaulzy,jaulzy,49.389181752577,3.059003814433
23292,60,60325,60880,Jaux,jaux,49.394056266667,2.7640606666667
23293,60,60326,60680,Jonquières,jonquieres,49.398074880952,2.7321180952381
23294,60,60327,60240,Jouy-sous-Thelle,jouy sous thelle,49.322542142857,1.9624094897959
23295,60,60328,60112,Juvignies,juvignies,49.521065949367,2.0917193670886
23296,60,60329,60310,Laberlière,laberliere,49.576275970149,2.7613540298508
23297,60,60330,60570,Laboissière-en-Thelle,laboissiere en thelle,49.286474025974,2.1531385714286
23298,60,60331,60590,Labosse,labosse,49.352611076923,1.9051406153846
23299,60,60332,60140,Labruyère,labruyere,49.351690833333,2.5055241666667
23300,60,60333,60650,Lachapelle-aux-Pots,lachapelle aux pots,49.447384564103,1.9179218461538
23301,60,60334,60730,Lachapelle-Saint-Pierre,lachapelle saint pierre,49.266467068966,2.2335051724138
23302,60,60335,60380,Lachapelle-sous-Gerberoy,lachapelle sous gerberoy,49.538825698925,1.8736598924731
23303,60,60336,60480,Lachaussée-du-Bois-d'Écu,lachaussee du bois d ecu,49.562682205882,2.1761023529412
23304,60,60337,60190,Lachelle,lachelle,49.436162835821,2.7467679104478
23305,60,60338,60610,Lacroix-Saint-Ouen,lacroix saint ouen,49.360213829787,2.7728925531915
23306,60,60339,60510,Lafraye,lafraye,49.494216666667,2.2105821428571
23307,60,60340,60310,Lagny,lagny,49.607575108696,2.9054702173913
23308,60,60341,60330,Lagny-le-Sec,lagny le sec,49.073653392857,2.7464876785714
23309,60,60342,60290,Laigneville,laigneville,49.297365436893,2.4392373786408
23310,60,60343,60590,Lalande-en-Son,lalande en son,49.389084090909,1.7846236363636
23311,60,60344,60850,Lalandelle,lalandelle,49.391755,1.8688909259259
