id,department_code,insee_code,zip_code,-AVEYRON,slug,gps_lat,gps_lng
4226,12,12171,12330,Nauviale,nauviale,44.515043073771,2.4315472540984
4227,12,12172,12190,Le Nayrac,le nayrac,44.608083017241,2.6785153160919
4228,12,12174,12510,Olemps,olemps,44.335528351648,2.5481522527472
4229,12,12175,12260,Ols-et-Rinhodes,ols et rinhodes,44.460602282609,1.9500077173913
4230,12,12176,12000,Onet-le-Château,onet le chateau,44.3467485,2.5742907
4231,12,12176,12850,Onet-le-Château,onet le chateau,44.3794807,2.5891648
4232,12,12177,12310,Palmas d'Aveyron,palmas d aveyron,44.394436,2.840525
4233,12,12177,12340,Palmas d'Aveyron,palmas d aveyron,44.394436,2.840525
4234,12,12178,12520,Paulhe,paulhe,44.148349493671,3.1141172151899
4235,12,12179,12360,Peux-et-Couffouleux,peux et couffouleux,43.760454404762,2.8821395833333
4236,12,12180,12720,Peyreleau,peyreleau,44.176522834225,3.2109382352941
4237,12,12181,12220,Peyrusse-le-Roc,peyrusse le roc,44.506114428571,2.1363152380952
4238,12,12182,12130,Pierrefiche,pierrefiche,44.433464035088,2.9223507017544
4239,12,12183,12550,Plaisance,plaisance,43.931206973684,2.5590584868421
4240,12,12184,12130,Pomayrols,pomayrols,44.486018756757,3.0553886486487
4241,12,12185,12290,Pont-de-Salars,pont de salars,44.276075578947,2.7116377894737
4242,12,12186,12380,Pousthomy,pousthomy,43.849615421053,2.5975018947368
4243,12,12187,12470,Prades-d'Aubrac,prades d aubrac,44.538788940568,2.966692868217
4244,12,12188,12290,Prades-Salars,prades salars,44.249309101563,2.790024765625
4245,12,12189,12240,Pradinas,pradinas,44.246200997067,2.2698283284458
4246,12,12190,12350,Prévinquières,previnquieres,44.364220921659,2.2492294470046
4247,12,12191,12350,Privezac,privezac,44.40753819209,2.2000718079096
4248,12,12192,12370,Mounes-Prohencoux,mounes prohencoux,43.789431618257,2.8221990456432
4249,12,12193,12320,Pruines,pruines,44.533255786164,2.4855758490566
4250,12,12194,12800,Quins,quins,44.232643852691,2.3703397450425
4251,12,12195,12400,Rebourguil,rebourguil,43.884722580645,2.7584379032258
4252,12,12197,12170,Réquista,requista,44.035406888454,2.5544467318982
4253,12,12198,12240,Rieupeyroux,rieupeyroux,44.305917695749,2.2271151006711
4254,12,12199,12390,Rignac,rignac,44.405052751196,2.2953823444976
4255,12,12200,12640,Rivière-sur-Tarn,riviere sur tarn,44.214869840637,3.1268937051793
4256,12,12201,12340,Rodelle,rodelle,44.494156057441,2.6239782506527
4257,12,12202,12000,Rodez,rodez,44.357317388535,2.5701801273885
4258,12,12203,12250,Roquefort-sur-Soulzon,roquefort sur soulzon,43.970425294118,2.9846475
4259,12,12204,12100,La Roque-Sainte-Marguerite,la roque sainte marguerite,44.111418815029,3.2384915895954
4260,12,12205,12200,La Rouquette,la rouquette,44.309903668342,1.9736648743719
4261,12,12206,12220,Roussennac,roussennac,44.446160220264,2.2540398678414
4262,12,12207,12120,Rullac-Saint-Cirq,rullac saint cirq,44.121851302817,2.4717806338028
4263,12,12208,12400,Saint-Affrique,saint affrique,43.969563860759,2.8615415611814
4264,12,12209,12460,Saint-Amans-des-Cots,saint amans des cots,44.687453625866,2.6860897690531
4265,12,12210,12270,Saint-André-de-Najac,saint andre de najac,44.182297433628,2.0195870353982
4266,12,12211,12720,Saint-André-de-Vézines,saint andre de vezines,44.152289292453,3.2587438207547
4267,12,12212,12540,Saint-Beaulize,saint beaulize,43.902055895954,3.0917076300578
4268,12,12213,12620,Saint-Beauzély,saint beauzely,44.1738956,2.9633764
4269,12,12214,12470,Saint-Chély-d'Aubrac,saint chely d aubrac,44.586093175355,2.9321553080569
4270,12,12215,12330,Saint-Christophe-Vallon,saint christophe vallon,44.481112762763,2.3908683183183
4271,12,12216,12500,Saint-Côme-d'Olt,saint come d olt,44.525741180556,2.8249494444444
4272,12,12217,12260,Sainte-Croix,sainte croix,44.409360210084,1.9697324789916
4273,12,12219,12130,Sainte-Eulalie-d'Olt,sainte eulalie d olt,44.467746082474,2.9161689175258
