,,,,-PYRENEES-ATLANTIQUES,,,
25728,64,64314,64120,Larceveau-Arros-Cibits,larceveau arros cibits,43.223988130841,-1.0867589719626
25729,64,64315,64110,Laroin,laroin,43.293987608696,-0.43781347826087
25730,64,64316,64560,Larrau,larrau,43.010239501779,-0.99639483985765
25731,64,64317,64480,Larressore,larressore,43.364956575342,-1.4406299315069
25732,64,64318,64410,Larreule,larreule,43.472246956522,-0.47129231884058
25733,64,64319,64120,Larribar-Sorhapuru,larribar sorhapuru,43.286828,-1.0048966428571
25734,64,64320,64440,Laruns,laruns,42.909920240385,-0.42225853365385
25735,64,64321,64450,Lasclaveries,lasclaveries,43.433572967742,-0.28935935483871
25736,64,64322,64220,Lasse,lasse,43.136787098214,-1.2840054464286
25737,64,64323,64350,Lasserre,lasserre,43.51141372549,-0.08132362745098
25738,64,64324,64290,Lasseube,lasseube,43.214006468254,-0.4878380952381
25739,64,64325,64290,Lasseubetat,lasseubetat,43.186100181818,-0.44562054545455
25740,64,64326,64190,Lay-Lamidou,lay lamidou,43.293475987654,-0.70860104938272
25741,64,64327,64220,Lecumberry,lecumberry,43.085711367041,-1.1283948501873
25742,64,64328,64400,Ledeuix,ledeuix,43.232943181818,-0.6103575974026
25743,64,64329,64320,Lée,lee,43.289667164179,-0.28829611940299
25744,64,64330,64490,Lées-Athas,lees athas,42.970646229508,-0.65338142076503
25745,64,64331,64350,Lembeye,lembeye,43.4513436,-0.1019552
25746,64,64332,64450,Lème,leme,43.493468983051,-0.36818228813559
25747,64,64334,64270,Léren,leren,43.504370416667,-1.0502781944444
25748,64,64335,64230,Lescar,lescar,43.345854841629,-0.42448850678733
25749,64,64336,64490,Lescun,lescun,42.918031682692,-0.66946072115385
25750,64,64337,64350,Lespielle,lespielle,43.468854496124,-0.15092248062016
25751,64,64338,64160,Lespourcy,lespourcy,43.3614845,-0.15604583333333
25752,64,64339,64800,Lestelle-Bétharram,lestelle betharram,43.123725902778,-0.21710708333333
25753,64,64340,64470,Lichans-Sunhar,lichans sunhar,43.09570060241,-0.88240819277108
25754,64,64341,64130,Lichos,lichos,43.310968297872,-0.88107085106383
25755,64,64342,64560,Licq-Athérey,licq atherey,43.049680916031,-0.8824913740458
25756,64,64343,64420,Limendous,limendous,43.277321290323,-0.18336161290323
25757,64,64344,64530,Livron,livron,43.23115862069,-0.13362362068966
25758,64,64345,64120,Lohitzun-Oyhercq,lohitzun oyhercq,43.266787900552,-0.96982861878453
25759,64,64346,64160,Lombia,lombia,43.331507131783,-0.12744720930233
25760,64,64347,64410,Lonçon,loncon,43.470296808511,-0.41840223404255
25761,64,64348,64140,Lons,lons,43.316116878981,-0.40767929936306
25762,64,64349,64300,Loubieng,loubieng,43.4214846875,-0.75956232142857
25763,64,64350,64250,Louhossoa,louhossoa,43.315508714286,-1.3465357619048
25764,64,64351,64570,Lourdios-Ichère,lourdios ichere,43.047579072848,-0.65921754966887
25765,64,64352,64420,Lourenties,lourenties,43.289709615385,-0.15430761538462
25766,64,64353,64260,Louvie-Juzon,louvie juzon,43.079201,-0.33827993103448
25767,64,64354,64440,Louvie-Soubiron,louvie soubiron,43.010621743119,-0.33341105504587
25768,64,64355,64410,Louvigny,louvigny,43.504678684211,-0.44447164473684
25769,64,64356,64350,Luc-Armau,luc armau,43.428132777778,-0.07152685185185
25770,64,64357,64350,Lucarré,lucarre,43.404088021978,-0.08409879120879
25771,64,64358,64420,Lucgarier,lucgarier,43.23383402439,-0.19078353658537
25772,64,64359,64360,Lucq-de-Béarn,lucq de bearn,43.296822506667,-0.65262146666667
25773,64,64360,64660,Lurbe-Saint-Christau,lurbe saint christau,43.109051111111,-0.60590255555556
25774,64,64361,64160,Lussagnet-Lusson,lussagnet lusson,43.44727096,-0.19713608
