,,,,-VIENNE,,,
33845,86,86291,86310,Villemort,villemort,46.549934736842,0.92670552631579
33846,86,86292,86190,Villiers,villiers,46.672081875,0.17260645833333
33847,86,86293,86370,Vivonne,vivonne,46.416216625,0.259790375
33848,86,86294,86190,Vouillé,vouille,46.618284285714,0.16453304761905
33849,86,86295,86400,Voulême,vouleme,46.100498256881,0.23408798165138
33850,86,86296,86700,Voulon,voulon,46.363282903226,0.24156462365591
33851,86,86297,86580,Vouneuil-sous-Biard,vouneuil sous biard,46.582900366972,0.27017288990826
33852,86,86298,86210,Vouneuil-sur-Vienne,vouneuil sur vienne,46.726096123595,0.53613303370787
33853,86,86299,86170,Vouzailles,vouzailles,46.713336626506,0.0974513253012
33854,86,86300,86170,Yversay,yversay,46.673171818182,0.20920295454545
