,,,,-MANCHE,,,
18424,50,50397,50150,Perriers-en-Beauficel,perriers en beauficel,48.730749521277,-1.0011532978723
18425,50,50398,50160,Le Perron,le perron,49.056721744186,-0.88772011627907
18426,50,50399,50370,Le Petit-Celland,le petit celland,48.698724351852,-1.2133525925926
18427,50,50400,50250,Picauville,picauville,49.379026,-1.399977
18428,50,50400,50360,Picauville,picauville,49.379026,-1.399977
18429,50,50400,50480,Picauville,picauville,49.379026,-1.399977
18430,50,50401,50340,Pierreville,pierreville,49.467573892617,-1.773912147651
18431,50,50402,50340,Les Pieux,les pieux,49.511265602094,-1.8126326701571
18432,50,50403,50770,Pirou,pirou,49.155723982301,-1.5603650442478
18433,50,50405,50250,Le Plessis-Lastelle,le plessis lastelle,49.280191234568,-1.4314282098765
18434,50,50407,50220,Poilley,poilley,48.6185565,-1.3187723125
18435,50,50408,50220,Pontaubault,pontaubault,48.62570037037,-1.3540853703704
18436,50,50409,50620,Pont-Hébert,pont hebert,49.168792,-1.135509
18437,50,50409,50880,Pont-Hébert,pont hebert,49.168792,-1.135509
18438,50,50410,50170,Pontorson,pontorson,48.556741376812,-1.4601258876812
18439,50,50411,50300,Ponts,ponts,48.710357708333,-1.3310822916667
18440,50,50412,50580,Portbail,portbail,49.347764055944,-1.6942733566434
18441,50,50413,50220,Précey,precey,48.604961570248,-1.3781689256198
18442,50,50417,50630,Quettehou,quettehou,49.586197909605,-1.3280536723164
18443,50,50419,50660,Quettreville-sur-Sienne,quettreville sur sienne,48.96805125731,-1.4631292690058
18444,50,50420,50750,Quibou,quibou,49.07092611399,-1.2088022797928
18445,50,50421,50310,Quinéville,quineville,49.511948130081,-1.3062399186992
18446,50,50422,50500,Raids,raids,49.205044297521,-1.3424395867769
18447,50,50423,50000,Rampan,rampan,49.146119404762,-1.1296598809524
18448,50,50425,50260,Rauville-la-Bigot,rauville la bigot,49.523922634146,-1.6505999512195
18449,50,50426,50390,Rauville-la-Place,rauville la place,49.391156054422,-1.5007443537415
18450,50,50427,50480,Ravenoville,ravenoville,49.454588426966,-1.2818659550562
18451,50,50428,50520,Reffuveille,reffuveille,48.676171639344,-1.1070144262295
18452,50,50429,50590,Regnéville-sur-Mer,regneville sur mer,49.014162021277,-1.5402030851064
18453,50,50430,50390,Reigneville-Bocage,reigneville bocage,49.410677027027,-1.4746352702703
18454,50,50431,50570,Remilly Les Marais,remilly les marais,49.180608,-1.257559
18455,50,50431,50620,Remilly Les Marais,remilly les marais,49.2175227,-1.1608049
18456,50,50433,50760,Réville,reville,49.626147328244,-1.253417480916
18457,50,50435,50260,Rocheville,rocheville,49.504826078431,-1.5937045751634
18458,50,50436,50140,Romagny Fontenay,romagny fontenay,48.633242907801,-0.98975933806146
18459,50,50437,50210,Roncey,roncey,48.982053680982,-1.333296993865
18460,50,50438,50490,La Ronde-Haye,la ronde haye,49.129799130435,-1.4422457142857
18461,50,50442,50340,Le Rozel,le rozel,49.480765445545,-1.8279233663366
18462,50,50443,50170,Sacey,sacey,48.497173290323,-1.4622996129032
18463,50,50444,50160,Saint-Amand-Villages,saint amand villages,49.039553310105,-0.93207808362369
18464,50,50445,50500,Saint-André-de-Bohon,saint andre de bohon,49.23512720339,-1.2509263559322
18465,50,50446,50680,Saint-André-de-l'Épine,saint andre de l epine,49.139575833333,-1.0213288888889
18466,50,50447,50380,Saint-Aubin-des-Préaux,saint aubin des preaux,48.803423222222,-1.5076609444444
18467,50,50448,50240,Saint-Aubin-de-Terregatte,saint aubin de terregatte,48.573951122449,-1.2886556632653
18468,50,50449,50490,Saint-Aubin-du-Perron,saint aubin du perron,49.153144480519,-1.3808407792208
18469,50,50450,50140,Saint-Barthélemy,saint barthelemy,48.684816111111,-0.95179833333333
