id,department_code,insee_code,zip_code,-AISNE,slug,gps_lat,gps_lng
717,2,2315,2520,Flavy-le-Martel,flavy le martel,49.709641477273,3.1931663636364
718,2,2316,2600,Fleury,fleury,49.264036666667,3.1622270833333
719,2,2317,2590,Fluquières,fluquieres,49.798445263158,3.1536610526316
720,2,2318,2670,Folembray,folembray,49.547614444444,3.2957267901235
721,2,2319,2110,Fonsomme,fonsomme,49.900670337079,3.3941262921348
722,2,2320,2680,Fontaine-lès-Clercs,fontaine les clercs,49.807751428571,3.2148461904762
723,2,2321,2140,Fontaine-lès-Vervins,fontaine les vervins,49.846924606742,3.9011235955056
724,2,2322,2110,Fontaine-Notre-Dame,fontaine notre dame,49.88152057971,3.4236256521739
725,2,2323,2110,Fontaine-Uterte,fontaine uterte,49.927300120482,3.3673485542169
726,2,2324,2170,Fontenelle,fontenelle,50.02478025641,3.8452718589744
727,2,2326,2290,Fontenoy,fontenoy,49.4109107,3.1982453
728,2,2327,2590,Foreste,foreste,49.805310810811,3.0941264864865
729,2,2328,2650,Fossoy,fossoy,49.0418154,3.4830518
730,2,2329,2870,Fourdrain,fourdrain,49.617236017699,3.4575057522124
731,2,2330,2760,Francilly-Selency,francilly selency,49.857517681159,3.226611884058
732,2,2331,2140,Franqueville,franqueville,49.815567121212,3.7996910606061
733,2,2332,2130,Fresnes-en-Tardenois,fresnes en tardenois,49.146225479452,3.5520364383562
734,2,2333,2380,Fresnes-sous-Coucy,fresnes sous coucy,49.557199090909,3.3630003409091
735,2,2334,2230,Fresnoy-le-Grand,fresnoy le grand,49.950532977099,3.418636259542
736,2,2335,2800,Fressancourt,fressancourt,49.630230857143,3.4261322857143
737,2,2336,2700,Frières-Faillouël,frieres faillouel,49.682386770833,3.2385185416667
738,2,2337,2260,Froidestrées,froidestrees,49.945556315789,3.905785
739,2,2338,2270,Froidmont-Cohartille,froidmont cohartille,49.6844842,3.7153828
740,2,2339,2810,Gandelu,gandelu,49.085515698925,3.185114516129
741,2,2340,2430,Gauchy,gauchy,49.823880675676,3.2845732432432
742,2,2341,2140,Gercy,gercy,49.814422048193,3.8712321686747
743,2,2342,2260,Gergny,gergny,49.927192179487,3.9290480769231
744,2,2343,2590,Germaine,germaine,49.814002181818,3.1171310909091
745,2,2345,2440,Gibercourt,gibercourt,49.735702051282,3.2877046153846
746,2,2346,2350,Gizy,gizy,49.612834153846,3.7638316923077
747,2,2347,2400,Gland,gland,49.057125,3.46189125
748,2,2349,2820,Goudelancourt-lès-Berrieux,goudelancourt les berrieux,49.497408550725,3.8499885507246
749,2,2350,2350,Goudelancourt-lès-Pierrepont,goudelancourt les pierrepont,49.684325454545,3.8518951136364
750,2,2351,2130,Goussancourt,goussancourt,49.160592884615,3.6552075
751,2,2352,2420,Gouy,gouy,49.997724723926,3.2600915337423
752,2,2353,2350,Grandlup-et-Fay,grandlup et fay,49.651914924242,3.7382612878788
753,2,2354,2360,Grandrieux,grandrieux,49.72640279661,4.1883698305085
754,2,2355,2100,Gricourt,gricourt,49.887169901961,3.2372704901961
755,2,2356,2210,Grisolles,grisolles,49.1288901,3.3745832
756,2,2357,2140,Gronard,gronard,49.792863921569,3.8808179411765
757,2,2358,2110,Grougis,grougis,49.950048849558,3.5314242477876
758,2,2359,2680,Grugies,grugies,49.811781355932,3.2779408474576
759,2,2360,2190,Guignicourt,guignicourt,49.444807946429,3.9636655357143
760,2,2361,2120,Guise,guise,49.896783555556,3.6285200555556
761,2,2362,2300,Guivry,guivry,49.651245362319,3.1187397101449
762,2,2363,2300,Guny,guny,49.518940190476,3.2657599047619
763,2,2364,2160,Guyencourt,guyencourt,49.360368181818,3.8429243636364
764,2,2366,2510,Hannapes,hannapes,49.976291652893,3.6197319834711
765,2,2367,2480,Happencourt,happencourt,49.774935588235,3.1841819117647
766,2,2368,2600,Haramont,haramont,49.287914803922,3.0160744607843
767,2,2369,2140,Harcigny,harcigny,49.803001025641,3.9761432051282
