,,,,-GERS,,,
12378,32,32273,32230,Monlezun,monlezun,43.498249282051,0.22164651282051
12379,32,32274,32240,Monlezun-d'Armagnac,monlezun d armagnac,43.827987426471,-0.14762558823529
12380,32,32275,32170,Monpardiac,monpardiac,43.463515076923,0.243978
12381,32,32276,32220,Montadet,montadet,43.43394525641,0.90533358974359
12382,32,32277,32220,Montamat,montamat,43.487261506849,0.85616945205479
12383,32,32278,32300,Montaut,montaut,43.401252447552,0.42106370629371
12384,32,32279,32810,Montaut-les-Créneaux,montaut les creneaux,43.705332941176,0.66714318627451
12385,32,32280,32140,Mont-d'Astarac,mont d astarac,43.330187709497,0.57743798882682
12386,32,32281,32170,Mont-de-Marrast,mont de marrast,43.392086625,0.3758825
12387,32,32282,32550,Montégut,montegut,43.641964299065,0.66747654205608
12388,32,32283,32730,Montégut-Arros,montegut arros,43.38382847619,0.22049742857143
12389,32,32284,32220,Montégut-Savès,montegut saves,43.437564848485,0.95831121212121
12390,32,32285,32320,Montesquiou,montesquiou,43.573670922509,0.32924280442804
12391,32,32286,32390,Montestruc-sur-Gers,montestruc sur gers,43.798293333333,0.63949567460317
12392,32,32287,32420,Monties,monties,43.393096805556,0.68403083333333
12393,32,32288,32200,Montiron,montiron,43.588522592593,0.85903351851852
12394,32,32289,32220,Montpézat,montpezat,43.38864462069,0.97616344827586
12395,32,32290,32250,Montréal,montreal,43.947645568627,0.19950894117647
12396,32,32291,32240,Mormès,mormes,43.797155648148,-0.14812287037037
12397,32,32292,32330,Mouchan,mouchan,43.896537553648,0.30473424892704
12398,32,32293,32300,Mouchès,mouches,43.557149104478,0.41880492537313
12399,32,32294,32190,Mourède,mourede,43.802346178862,0.29360073170732
12400,32,32295,32130,Nizas,nizas,43.495906987952,0.98942108433735
12401,32,32296,32110,Nogaro,nogaro,43.764288012821,-0.03201487179487
12402,32,32297,32130,Noilhan,noilhan,43.531991666667,0.93616782608696
12403,32,32298,32270,Nougaroulet,nougaroulet,43.688771005917,0.71878236686391
12404,32,32299,32800,Noulens,noulens,43.805065,0.16178936170213
12405,32,32300,32260,Orbessan,orbessan,43.545071801802,0.61819666666667
12406,32,32301,32350,Ordan-Larroque,ordan larroque,43.686258539823,0.4685367699115
12407,32,32302,32260,Ornézan,ornezan,43.51355673913,0.59927311594203
12408,32,32303,32230,Pallanne,pallanne,43.502918793103,0.26513775862069
12409,32,32304,32140,Panassac,panassac,43.381774566929,0.57062834645669
12410,32,32305,32110,Panjas,panjas,43.826477729258,-0.08222152838428
12411,32,32306,32500,Pauilhac,pauilhac,43.883274956522,0.62602047826087
12412,32,32307,32550,Pavie,pavie,43.606096065574,0.58813726775956
12413,32,32308,32130,Pébées,pebees,43.460932987013,1.0274996103896
12414,32,32309,32420,Pellefigue,pellefigue,43.480006993007,0.79329881118881
12415,32,32310,32460,Perchède,perchede,43.778284901961,-0.13752519607843
12416,32,32311,32700,Pergain-Taillac,pergain taillac,44.054900196078,0.6008462745098
12417,32,32312,32550,Pessan,pessan,43.611548351648,0.66554725274725
12418,32,32313,32380,Pessoulens,pessoulens,43.858112892562,0.88717008264463
12419,32,32314,32340,Peyrecave,peyrecave,43.996496095238,0.81432447619048
12420,32,32315,32320,Peyrusse-Grande,peyrusse grande,43.632005412371,0.22179
12421,32,32316,32360,Peyrusse-Massas,peyrusse massas,43.741616222222,0.56224322222222
12422,32,32317,32230,Peyrusse-Vieille,peyrusse vieille,43.628364065041,0.17442105691057
12423,32,32318,32500,Pis,pis,43.786775068493,0.71044493150685
12424,32,32319,32160,Plaisance,plaisance,43.597560542169,0.04770506024096
12425,32,32320,32340,Plieux,plieux,43.952236149068,0.75555459627329
12426,32,32321,32130,Polastron,polastron,43.533433397436,0.84176397435897
12427,32,32322,32130,Pompiac,pompiac,43.517761666667,1.0006705882353
12428,32,32323,32300,Ponsampère,ponsampere,43.458814919355,0.37118693548387
12429,32,32324,32300,Ponsan-Soubiran,ponsan soubiran,43.350420111111,0.47980844444444
12430,32,32325,32290,Pouydraguin,pouydraguin,43.657811693548,0.03789129032258
12431,32,32326,32320,Pouylebon,pouylebon,43.548381986755,0.29895622516556
12432,32,32327,32260,Pouy-Loubrin,pouy loubrin,43.467430487805,0.60877640243902
12433,32,32328,32480,Pouy-Roquelaure,pouy roquelaure,44.03587568,0.52203264
12434,32,32329,32390,Préchac,prechac,43.792600078125,0.57353359375
12435,32,32330,32160,Préchac-sur-Adour,prechac sur adour,43.600531410256,0.00146128205128
12436,32,32331,32810,Preignan,preignan,43.722118201439,0.63413381294964
12437,32,32332,32190,Préneron,preneron,43.728359659091,0.27167761363636
12438,32,32333,32400,Projan,projan,43.608667846154,-0.23209974358974
12439,32,32334,32600,Pujaudran,pujaudran,43.59399872549,1.1675246078431
12440,32,32335,32120,Puycasquier,puycasquier,43.748925645161,0.75006069892473
12441,32,32336,32220,Puylausic,puylausic,43.442252115385,0.93612259615385
12442,32,32337,32390,Puységur,puysegur,43.774275744681,0.59240758865248
12443,32,32338,32800,Ramouzens,ramouzens,43.810511945946,0.18687859459459
12444,32,32339,32600,Razengues,razengues,43.644415151515,0.98672166666667
12445,32,32340,32800,Réans,reans,43.869326823529,0.03387223529412
12446,32,32341,32390,Réjaumont,rejaumont,43.81728976378,0.54896173228346
12447,32,32342,32230,Ricourt,ricourt,43.487791219512,0.17640113821138
12448,32,32343,32320,Riguepeu,riguepeu,43.659050049751,0.33536696517413
12449,32,32344,32400,Riscle,riscle,43.643163143939,-0.08543325757576
12450,32,32345,32480,La Romieu,la romieu,43.989290594595,0.50028551351351
12451,32,32346,32190,Roquebrune,roquebrune,43.704819029126,0.29611451456311
12452,32,32347,32390,Roquefort,roquefort,43.757708632479,0.58547444444444
12453,32,32348,32810,Roquelaure,roquelaure,43.723106410256,0.5976718974359
12454,32,32349,32430,Roquelaure-Saint-Aubin,roquelaure saint aubin,43.664045932203,0.98745423728814
12455,32,32350,32100,Roquepine,roquepine,43.908584358974,0.46926153846154
12456,32,32351,32310,Roques,roques,43.840969452055,0.29937732876712
12457,32,32352,32190,Rozès,rozes,43.803224025974,0.36539493506494
12458,32,32353,32420,Sabaillan,sabaillan,43.437116785714,0.81915135714286
12459,32,32354,32290,Sabazan,sabazan,43.708343488372,0.05145813953488
12460,32,32355,32170,Sadeillan,sadeillan,43.397805847458,0.34590449152542
12461,32,32356,32200,Saint-André,saint andre,43.556585730337,0.8565502247191
12462,32,32357,32430,Sainte-Anne,sainte anne,43.745594222222,0.968944
12463,32,32358,32340,Saint-Antoine,saint antoine,44.039054488189,0.83443181102362
12464,32,32359,32120,Saint-Antonin,saint antonin,43.719229384615,0.823499
12465,32,32360,32350,Saint-Arailles,saint arailles,43.623727166667,0.343371
12466,32,32361,32300,Saint-Arroman,saint arroman,43.433840970149,0.52120432835821
12467,32,32362,32160,Saint-Aunix-Lengros,saint aunix lengros,43.572994672131,0.0549962295082
12468,32,32363,32300,Sainte-Aurence-Cazaux,sainte aurence cazaux,43.373346583851,0.43402844720497
