,,,,-GIRONDE,,,
12822,33,33249,33310,Lormont,lormont,44.876383714286,-0.513721
12823,33,33250,33190,Loubens,loubens,44.62654,-0.02296153153153
12824,33,33251,33125,Louchats,louchats,44.516275785124,-0.58108487603306
12825,33,33252,33370,Loupes,loupes,44.809495612245,-0.39388775510204
12826,33,33253,33410,Loupiac,loupiac,44.629358083333,-0.28357216666667
12827,33,33254,33190,Loupiac-de-la-Réole,loupiac de la reole,44.545959642857,-0.04572035714286
12828,33,33255,33840,Lucmau,lucmau,44.351038,-0.30914626086957
12829,33,33256,33290,Ludon-Médoc,ludon medoc,44.982952596154,-0.600405
12830,33,33257,33420,Lugaignac,lugaignac,44.814711692308,-0.19528984615385
12831,33,33258,33760,Lugasson,lugasson,44.756863896104,-0.15646935064935
12832,33,33259,33240,Lugon-et-l'Île-du-Carnay,lugon et l ile du carnay,44.958886464646,-0.3502694949495
12833,33,33260,33830,Lugos,lugos,44.501624466019,-0.85889621359223
12834,33,33261,33570,Lussac,lussac,44.969606390041,-0.09311066390042
12835,33,33262,33460,Macau,macau,45.008368971963,-0.61906570093458
12836,33,33263,33670,Madirac,madirac,44.757302857143,-0.39400771428571
12837,33,33264,33230,Maransin,maransin,45.066792154696,-0.26072309392265
12838,33,33266,33620,Marcenais,marcenais,45.063018794326,-0.34287872340426
12839,33,33267,33860,Marcillac,marcillac,45.276400383142,-0.50330398467433
12840,33,33268,33460,Margaux-Cantenac,margaux cantenac,45.035943771429,-0.66715022857143
12841,33,33269,33220,Margueron,margueron,44.770017409326,0.25688139896373
12842,33,33270,33430,Marimbault,marimbault,44.410454823529,-0.26010894117647
12843,33,33271,33690,Marions,marions,44.385307530864,-0.08582901234568
12844,33,33272,33620,Marsas,marsas,45.063317560976,-0.37240821138211
12845,33,33273,33127,Martignas-sur-Jalle,martignas sur jalle,44.846662777778,-0.77377027777778
12846,33,33274,33650,Martillac,martillac,44.723852297297,-0.55084783783784
12847,33,33275,33760,Martres,martres,44.707024302326,-0.16901930232558
12848,33,33276,33690,Masseilles,masseilles,44.400635971223,-0.06100949640288
12849,33,33277,33790,Massugas,massugas,44.771023943662,0.10210234741784
12850,33,33278,33540,Mauriac,mauriac,44.743965247525,-0.02577475247525
12851,33,33279,33210,Mazères,mazeres,44.504433714286,-0.252588
12852,33,33280,33390,Mazion,mazion,45.167532065217,-0.60418043478261
12853,33,33281,33700,Mérignac,merignac,44.830722119205,-0.65762278145695
12854,33,33282,33350,Mérignas,merignas,44.788293904762,-0.08322085714286
12855,33,33283,33540,Mesterrieux,mesterrieux,44.642371470588,-0.01304176470588
12856,33,33284,33380,Mios,mios,44.640719785276,-0.8997813803681
12857,33,33285,33710,Mombrier,mombrier,45.077959298246,-0.54883614035088
12858,33,33287,33190,Mongauzy,mongauzy,44.569252900763,0.02714732824427
12859,33,33288,33410,Monprimblanc,monprimblanc,44.62934047619,-0.25595761904762
12860,33,33289,33580,Monségur,monsegur,44.646597259259,0.08848488888889
12861,33,33290,33570,Montagne,montagne,44.93002255814,-0.12575873754153
12862,33,33291,33190,Montagoudin,montagoudin,44.581658289474,0.00560934210526
12863,33,33292,33760,Montignac,montignac,44.710674067797,-0.21753101694915
12864,33,33293,33450,Montussan,montussan,44.885572718447,-0.42376203883495
12865,33,33294,33190,Morizès,morizes,44.613266060606,-0.0986101010101
12866,33,33295,33240,Mouillac,mouillac,45.00644490566,-0.34975
12867,33,33296,33350,Mouliets-et-Villemartin,mouliets et villemartin,44.826542072072,-0.02256684684685
12868,33,33297,33480,Moulis-en-Médoc,moulis en medoc,45.049578828125,-0.79132015625
12869,33,33298,33420,Moulon,moulon,44.852033125,-0.22719159722222
12870,33,33299,33410,Mourens,mourens,44.644308292683,-0.21438032520325
12871,33,33300,33990,Naujac-sur-Mer,naujac sur mer,45.268099462366,-1.0530896774194
12872,33,33301,33420,Naujan-et-Postiac,naujan et postiac,44.788076833333,-0.17887875
12873,33,33302,33500,Néac,neac,44.940850526316,-0.17667936842105
12874,33,33303,33750,Nérigean,nerigean,44.841546357143,-0.27960514285714
12875,33,33304,33580,Neuffons,neuffons,44.645312727273,0.01363282828283
12876,33,33305,33430,Le Nizan,le nizan,44.47137443299,-0.27141680412371
12877,33,33306,33190,Noaillac,noaillac,44.513645869565,-0.01655565217391
12878,33,33307,33730,Noaillan,noaillan,44.479747440758,-0.36884393364929
12879,33,33308,33410,Omet,omet,44.656411395349,-0.28833348837209
12880,33,33309,33340,Ordonnac,ordonnac,45.30705259542,-0.84705893129771
12881,33,33310,33113,Origne,origne,44.495125272727,-0.50768427272727
12882,33,33311,33550,Paillet,paillet,44.686344909091,-0.35869709090909
12883,33,33312,33290,Parempuyre,parempuyre,44.955338474576,-0.58910237288136
12884,33,33314,33250,Pauillac,pauillac,45.200788074074,-0.75725911111111
12885,33,33315,33230,Les Peintures,les peintures,45.070263687943,-0.09804092198582
12886,33,33316,33790,Pellegrue,pellegrue,44.743610162338,0.0942625974026
12887,33,33317,33240,Périssac,perissac,45.025694397906,-0.31318183246073
12888,33,33318,33600,Pessac,pessac,44.802078984375,-0.651239296875
12889,33,33319,33890,Pessac-sur-Dordogne,pessac sur dordogne,44.815313965517,0.09516362068966
12890,33,33320,33570,Petit-Palais-et-Cornemps,petit palais et cornemps,44.98227081761,-0.05734044025157
12891,33,33321,33240,Peujard,peujard,45.049166785714,-0.42861857142857
12892,33,33322,33290,Le Pian-Médoc,le pian medoc,44.964646451613,-0.64514967741935
12893,33,33323,33490,Le Pian-sur-Garonne,le pian sur garonne,44.585079387755,-0.21567520408163
12894,33,33324,33220,Pineuilh,pineuilh,44.828444343434,0.23432575757576
12895,33,33325,33390,Plassac,plassac,45.094591129032,-0.65020075268817
12896,33,33326,33820,Pleine-Selve,pleine selve,45.325330555556,-0.57994083333333
12897,33,33327,33720,Podensac,podensac,44.646011833333,-0.35914983333333
12898,33,33328,33500,Pomerol,pomerol,44.934053333333,-0.1993501754386
12899,33,33329,33730,Pompéjac,pompejac,44.397383423423,-0.29687972972973
12900,33,33330,33370,Pompignac,pompignac,44.853897647059,-0.43254205882353
12901,33,33331,33190,Pondaurat,pondaurat,44.52945488,-0.08051816
12902,33,33332,33660,Porchères,porcheres,45.03669911215,-0.00838780373832
12903,33,33333,33680,Le Porge,le porge,44.857496875,-1.185462375
12904,33,33334,33640,Portets,portets,44.690635121951,-0.42067707317073
12905,33,33335,33670,Le Pout,le pout,44.805538730159,-0.35674111111111
12906,33,33336,33730,Préchac,prechac,44.383819379085,-0.34508065359477
12907,33,33337,33210,Preignac,preignac,44.5711665,-0.30976057142857
12908,33,33338,33340,Prignac-en-Médoc,prignac en medoc,45.322744123711,-0.91092103092784
12909,33,33339,33710,Prignac-et-Marcamps,prignac et marcamps,45.034761734694,-0.48933510204082
12910,33,33341,33710,Pugnac,pugnac,45.084852307692,-0.49556323076923
12911,33,33342,33570,Puisseguin,puisseguin,44.930000107527,-0.06445306451613
12912,33,33343,33210,Pujols-sur-Ciron,pujols sur ciron,44.564078987342,-0.35373227848101
12913,33,33344,33350,Pujols,pujols,44.806667983193,-0.0326687394958
12914,33,33345,33580,Le Puy,le puy,44.65658119403,0.06227708955224
12915,33,33346,33190,Puybarban,puybarban,44.546310384615,-0.06846778846154
12916,33,33347,33660,Puynormand,puynormand,44.981605542169,-0.00048650602410005
12917,33,33348,33340,Queyrac,queyrac,45.350261530612,-1.0094071428571
12918,33,33349,33360,Quinsac,quinsac,44.755889444444,-0.49104097222222
12919,33,33350,33420,Rauzan,rauzan,44.787146778523,-0.13493348993289
12920,33,33351,33860,Reignac,reignac,45.226098674242,-0.51222587121212
12921,33,33352,33190,La Réole,la reole,44.587305032258,-0.04106503225806
12922,33,33353,33580,Rimons,rimons,44.671784503817,0.0109272519084
