,,,,-EURE-ET-LOIRE,,,
10444,28,28354,28240,Saint-Maurice-Saint-Germain,saint maurice saint germain,48.494366290323,1.0806221774194
10445,28,28355,28260,Saint-Ouen-Marchefroy,saint ouen marchefroy,48.855591685393,1.529313258427
10446,28,28357,28130,Saint-Piat,saint piat,48.547880551181,1.5797274015748
10447,28,28358,28300,Saint-Prest,saint prest,48.486302242991,1.5170878504673
10448,28,28359,28380,Saint-Rémy-sur-Avre,saint remy sur avre,48.747750545455,1.2308225454546
10449,28,28360,28170,Saint-Sauveur-Marville,saint sauveur marville,48.607521129032,1.2890605645161
10450,28,28362,28240,Saint-Victor-de-Buthon,saint victor de buthon,48.400459873418,0.97619970464135
10451,28,28363,28700,Sainville,sainville,48.421213265306,1.8755144897959
10452,28,28364,28800,Sancheville,sancheville,48.181633285714,1.5841852857143
10453,28,28365,28120,Sandarville,sandarville,48.344894285714,1.3471603571429
10454,28,28366,28700,Santeuil,santeuil,48.383251081081,1.7381502702703
10455,28,28367,28310,Santilly,santilly,48.146184117647,1.8835794117647
10456,28,28368,28250,La Saucelle,la saucelle,48.632139367089,1.0302205063291
10457,28,28369,28500,Saulnières,saulnieres,48.660079811321,1.2705574528302
10458,28,28370,28800,Saumeray,saumeray,48.253475346535,1.3220876237624
10459,28,28371,28260,Saussay,saussay,48.85043,1.4130388709677
10460,28,28372,28210,Senantes,senantes,48.657493924051,1.5842643037975
10461,28,28373,28250,Senonches,senonches,48.560635904059,1.0229439114391
10462,28,28374,28170,Serazereux,serazereux,48.59195804878,1.4365014634146
10463,28,28375,28410,Serville,serville,48.770223,1.4875033333333
10464,28,28376,28330,Soizé,soize,48.170065625,0.88614767045455
10465,28,28377,28260,Sorel-Moussel,sorel moussel,48.825869315069,1.3930739041096
10466,28,28378,28400,Souancé-au-Perche,souance au perche,48.273803033175,0.82790753554502
10467,28,28379,28130,Soulaires,soulaires,48.521275176471,1.5907032941176
10468,28,28380,28630,Sours,sours,48.423487706422,1.5931576146789
10469,28,28382,28140,Terminiers,terminiers,48.083009385965,1.732493245614
10470,28,28383,28150,Theuville,theuville,48.335818,1.600995
10471,28,28383,28360,Theuville,theuville,48.335818,1.600995
10472,28,28385,28240,Le Thieulin,le thieulin,48.40487125,1.1332085833333
