id,department_code,insee_code,zip_code,-CHARENTE-MARITIME,slug,gps_lat,gps_lng
5845,17,17167,17270,Le Fouilloux,le fouilloux,45.211851322581,-0.12985193548387
5846,17,17168,17450,Fouras,fouras,45.986707932692,-1.0856781730769
5847,17,17169,17770,La Frédière,la frediere,45.863196031746,-0.58630634920635
5848,17,17171,17250,Geay,geay,45.860967980769,-0.75851019230769
5849,17,17172,17260,Gémozac,gemozac,45.563514728034,-0.69011552301255
5850,17,17173,17360,La Genétouze,la genetouze,45.211309655172,-0.05274824137931
5851,17,17174,17430,Genouillé,genouille,46.025034186047,-0.77229023255814
5852,17,17175,17520,Germignac,germignac,45.567601078431,-0.33539901960784
5853,17,17176,17160,Gibourne,gibourne,45.935940337838,-0.31262581081081
5854,17,17177,17160,Le Gicq,le gicq,45.937141333333,-0.2537735
5855,17,17178,17260,Givrezac,givrezac,45.542228313253,-0.63087385542169
5856,17,17179,17100,Les Gonds,les gonds,45.707353944954,-0.60046247706422
5857,17,17180,17490,Gourvillette,gourvillette,45.890082428571,-0.22297714285714
5858,17,17181,17350,Grandjean,grandjean,45.875723611111,-0.5971837962963
5859,17,17182,17170,La Grève-sur-Mignon,la greve sur mignon,46.24375655914,-0.76120537634409
5860,17,17183,17120,Grézac,grezac,45.603701076923,-0.826765
5861,17,17184,17620,La Gripperie-Saint-Symphorien,la gripperie saint symphorien,45.792556763285,-0.95543516908213
5862,17,17185,17600,Le Gua,le gua,45.726281495017,-0.96423764119601
5863,17,17186,17540,Le Gué-d'Alleré,le gue d allere,46.188093815789,-0.87108026315789
5864,17,17187,17500,Guitinières,guitinieres,45.437973358779,-0.51375641221374
5865,17,17188,17160,Haimps,haimps,45.860858923077,-0.251071
5866,17,17189,17320,Hiers-Brouage,hiers brouage,45.844763694581,-1.053887044335
5867,17,17190,17137,L'Houmeau,l houmeau,46.194046666667,-1.1867063888889
5868,17,17191,17460,La Jard,la jard,45.665894375,-0.57427229166667
5869,17,17192,17520,Jarnac-Champagne,jarnac champagne,45.552025182482,-0.41529189781022
5870,17,17193,17220,La Jarne,la jarne,46.120779090909,-1.0789207575758
5871,17,17194,17220,La Jarrie,la jarrie,46.122849166667,-1.012144375
5872,17,17195,17330,La Jarrie-Audouin,la jarrie audouin,46.034721382979,-0.48161755319149
5873,17,17196,17260,Jazennes,jazennes,45.5856208,-0.6116736
5874,17,17197,17500,Jonzac,jonzac,45.441542416107,-0.4245544295302
5875,17,17198,17770,Juicq,juicq,45.838503365385,-0.57720634615385
5876,17,17199,17130,Jussas,jussas,45.272541333333,-0.35574281481481
5877,17,17200,17140,Lagord,lagord,46.185050735294,-1.1546195588235
5878,17,17201,17170,La Laigne,la laigne,46.217624929577,-0.75769633802817
5879,17,17202,17380,Landes,landes,45.99649,-0.60456833333333
